store_id,name,food_type,avg_rating
s1wn,dubuyo (tropicana gardens mall),korean,4.6
cmtw,salad atelier (tropicana gardens mall),asian,4.3
t6ph,nyonya cendol,malaysian,4.5
kb6t,bread history (sunway giza mall),cakes,4.5
cogb,ayam penyet d'kota (tropicana gardens mall),ayam penyet,4.6
vaer,juek xing kopi,chinese,4.7
m9ls,hameediyah restaurant,nasi kandar,4.3
v1ti,soong kee kota damansara,noodles,4.6
r6fa,tasty porridge (kota damansara),porridge,4.7
jb12,restoran kampung pak kopi kaw 濃的傳人,chinese,4.6
p0ic,burger king (kota damansara),burgers,4.6
i3ar,和樂屋 warakuya japanese restaurant (kota damansara),japanese,4.4
plbj,waneeda tomyam,malaysian,4.5
r49e,classic taiwan braised pork rice (kota damansara),chinese,4
cso0,moo-ka-ta krua thai (kota damansara),asian,4.8
ldz4,restoran hock kee ulu yam loh mee (kota damansara),noodles,4.3
t0v0,omega pork noodle (kota damansara),chinese,4.7
m8do,khalifah bistro (dataran sunway),roti canai,4.6
q2yu,humairah original kelantan,malaysian,4.4
qrec,nasi kandar zayan bistro,nasi kandar,4.3
djw6,restoran salero minang,13635 min,4.2
pkxx,pasta panas (petronas station kota damansara),pasta,4.6
jxoc,mat rock ayam goreng kunyit (kota damansara),chicken,4.6
vng8,"takoza snacks (khalifah, dataran sunway)",malaysian,4.7
tmqh,tomyam seafood annur tanjung (foodcourt),thai,4.7
vp35,nasi ayam nzw mamii glam damansara,chicken,4.6
bbix,cik melur @the strand,fried rice,4.3
t0a8,seri malaya - foodle (the strand mall),malaysian,3.8
ncdn,hasta la pasta - foodle (the strand mall),italian,3
em6p,marroush - foodle (the strand mall),asian,4
egsp,wakaka eco damansara (ecds),pancakes & waffles,4.6
avl5,ayam kunyit maharaja - foodle (the strand mall),asian,3.6
p4mn,waroeng batavia,malaysian,4.6
neew,borak – borak cafe,malaysian,4.7
df6g,mala hotpot house 爱辣无忧· 麻辣家,malaysian,4.5
wq8t,the hungry wok - foodle (the strand mall),asian,3.9
o38k,subway (thomson hospital),sandwiches,4.6
noyl,i am geprek bensu @ foodle (the strand mall - kota damansara),malaysian,4.3
ytld,nasi ayam berapi - foodle (the strand mall),malaysian,4
n2wl,martabak bang! (kota damansara),desserts,4.5
gp2h,smashhouse burgers - foodle (the strand mall),asian,4.2
arkw,foodle food hall - foodle (the strand mall),asian,3.8
jrtu,semarak corner,fried rice,4.7
n4qr,ai nasi lemak ayam berempah,malaysian,4.6
sgw1,the good bowls & pasta - foodle (the strand mall),malaysian,3.6
p3zc,punjabi vibes,middle eastern,4.4
m8gp,nasi pak man,malaysian,4.5
pms2,chicken royale (kota damansara),asian,4.5
pos2,mee tarik warisan asli (kota damansara),noodles,4.7
l93a,restoran vicchuda (kota damansara),malaysian,4.3
t722,anak kampung @ kota damansara,malaysian,4.7
n0dq,ayn zamzam restaurant kota damansara,chicken,4.6
m8ny,zahra hadramawt restaurant,chicken,4.3
l3vc,nasi ambeng mayya,malaysian,4.6
nrok,ayam penyet ap (giant kota damansara),ayam penyet,4.7
fp5r,d'siantan seafood @ lid tomyam,malaysian,4.3
q9eq,nasi ayam mewangi azeem,chicken,4.6
o7qz,ujang char kuey teow,fried rice,4.7
n6bk,nasi kandar padang kota (cova square),nasi kandar,4.6
f1zu,lid tomyam,fried rice,4
n6pl,kfc (giant kota damansara),fried chicken,4.3
r4zj,nasi lemak gula hangus,malaysian,4.6
g0qu,ayam gepuk pak gembus (pelangi),fried chicken,4.4
vagy,d'tebing corner kota damansara,fried rice,4.5
