store_id,name,food_type,avg_rating,google_place_id,google_matched_name,google_formatted_address,google_price_tier,google_lat,google_lng,google_website,google_phone,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json
s1wn,dubuyo (tropicana gardens mall),korean,4.6,ChIJEfT-2VdPzDER4UlZKz3hkmk,DubuYo Prime @ IOI Mall Damansara,"Concourse floor, Tropicana garden mall lot CC-42, no A, Persiaran Surian, Tropicana Indah, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1490708,101.5952253,https://www.google.com/maps/place/?q=place_id:ChIJEfT-2VdPzDER4UlZKz3hkmk,03-7660 6967,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
cmtw,salad atelier (tropicana gardens mall),asian,4.3,ChIJwfmvRyFPzDER0DL4tps1yrk,Salad Atelier (IOI Mall Damansara),"CC-85, Concourse Floor, Tropicana Gardens Mall, Jln PJU 3/21, Tropicana Indah, 47410 Petaling Jaya, Selangor, Malaysia",,3.1490388,101.5935816,https://www.saladatelier.com/,010-662 1561,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,"{""Monday"": ""10:30 AM 9:00 PM"", ""Tuesday"": ""10:30 AM 9:00 PM"", ""Wednesday"": ""10:30 AM 9:00 PM"", ""Thursday"": ""10:30 AM 9:00 PM"", ""Friday"": ""10:30 AM 9:00 PM"", ""Saturday"": ""10:30 AM 9:00 PM"", ""Sunday"": ""10:30 AM 9:00 PM""}"
t6ph,nyonya cendol,malaysian,4.5,ChIJ5zgBl_BNzDERbk732LvugsA,Nyonya Cendol Paradigm Mall,"LG-48, Lower Ground Floor, Paradigm Mall, 1, Jalan SS 7/26a, SS7, 47301 Petaling Jaya, Selangor, Malaysia",,3.1059372,101.5958662,http://www.facebook.com/nyonyacendolcafe,03-7887 7255,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}"
kb6t,bread history (sunway giza mall),cakes,4.5,ChIJd_RnibRPzDERafp2t0wL7Ko,Bread History (Sunway Giza),"G-06, Sunway Giza Mall, Jalan PJU 5/14, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1501529,101.5917264,http://breadhistory.com.my/,03-7660 0070,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
cogb,ayam penyet d'kota (tropicana gardens mall),ayam penyet,4.6,ChIJf1K3MKhPzDER_cj33zfQzPA,Ayam Penyet D'Kota @ IOI Mall Damansara,"18, Persiaran Surian, Tropicana Gardens Mall, Concourse Level, Kota Damansara, 47410 Petaling Jaya, Selangor, Malaysia",,3.14916,101.5955371,https://www.google.com/maps/place/?q=place_id:ChIJf1K3MKhPzDER_cj33zfQzPA,019-958 0947,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}"
r6fa,tasty porridge (kota damansara),porridge,4.7,ChIJsyeVFNdPzDERgelDPj5ztzI,Tasty Porridge KOTA DAMANSARA,"38A, 1 G, Jalan PJU 5/10, Pju 1, 47810 Petaling Jaya, Selangor, Malaysia",,3.1515972,101.5936897,https://www.google.com/maps/place/?q=place_id:ChIJsyeVFNdPzDERgelDPj5ztzI,03-6151 8096,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
jb12,restoran kampung pak kopi kaw 濃的傳人,chinese,4.6,ChIJJZJAjCNJzDERapXLlQzQWHA,Kaw Kaw Pak Kopi,"27, Jalan SS 2/67, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",mid,3.1190426,101.6224556,https://www.google.com/maps/place/?q=place_id:ChIJJZJAjCNJzDERapXLlQzQWHA,012-276 7090,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,"{""Monday"": ""7:00 AM 4:00 PM"", ""Tuesday"": ""7:00 AM 4:00 PM"", ""Wednesday"": ""7:00 AM 4:00 PM"", ""Thursday"": ""7:00 AM 4:00 PM"", ""Friday"": ""7:00 AM 4:00 PM"", ""Saturday"": ""7:00 AM 4:00 PM"", ""Sunday"": ""7:00 AM 4:00 PM""}"
i3ar,和樂屋 warakuya japanese restaurant (kota damansara),japanese,4.4,ChIJ8eTWANpPzDERS2AI350Q7ck,Warakuya Japanese Garden,"2, Jalan PJU 5/10, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1515715,101.5925469,https://www.google.com/maps/place/?q=place_id:ChIJ8eTWANpPzDERS2AI350Q7ck,03-6150 0666,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,"{""Monday"": ""11:00 AM 11:00 PM"", ""Tuesday"": ""11:00 AM 11:00 PM"", ""Wednesday"": ""11:00 AM 11:00 PM"", ""Thursday"": ""11:00 AM 11:00 PM"", ""Friday"": ""11:00 AM 11:00 PM"", ""Saturday"": ""11:00 AM 11:00 PM"", ""Sunday"": ""11:00 AM 11:00 PM""}"
plbj,waneeda tomyam,malaysian,4.5,ChIJT3Wn2d9OzDERzedI9n3gNWs,Restoran Waneeda Tomyam,"22A-1, Jalan PJU 5/9, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1509298,101.5932441,https://drive.google.com/file/d/1oI8yddliZNYAxQFvwtseH68CpgWYxgUf/view?usp=drivesdk,03-6140 7646,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,"{""Monday"": ""11:30 AM 12:00 AM"", ""Tuesday"": ""11:30 AM 12:00 AM"", ""Wednesday"": ""11:30 AM 12:00 AM"", ""Thursday"": ""11:30 AM 12:00 AM"", ""Friday"": ""11:30 AM 12:00 AM"", ""Saturday"": ""11:30 AM 12:00 AM"", ""Sunday"": ""11:30 AM 12:00 AM""}"
r49e,classic taiwan braised pork rice (kota damansara),chinese,4.0,ChIJJbgrFM1PzDERlS9DYGaAcSw,Classic Taiwan Braised Pork Rice & Dessert,"17-2, Jln PJU 5/10 Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1513386,101.5931296,https://www.google.com/maps/place/?q=place_id:ChIJJbgrFM1PzDERlS9DYGaAcSw,016-336 8581,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
