store_id,uuid,updated_at,review_text,overall_rating,food_rating,rider_rating,sentiment
a1rg,02024e2e-34fa-4ac5-89fe-12cbea0fe873,2023-05-16T02:55:40Z,"dah lama x order kt sini food was good last time but this time everything’s out. buttermilk chicken; langsung x sedap, plain and entahlah. ulam dapat one slice of timun?? seriouslah one slice je? 😢",1,1,5,negative
a1rg,02d16f87-7efa-4b75-b1f2-b9b805612376,2023-04-21T10:39:37Z,"mintak tak nak pedas, sekali ada cili padi sekampung. 😅 but lain semua sedap..",5,5,,positive
a1rg,05a976c1-0d74-4dca-9033-f4356571ad78,2023-04-12T07:14:18Z,"mee goreng ayam sangat puas hati...susah nak dapat mee/ kuey tiow yang ada ayam sekarang..
terbaikk⭐⭐⭐⭐⭐",5,5,5,positive
a1rg,1148c90c-6b71-4104-a269-bfafe8132442,2024-01-16T03:08:32Z,syedappppp,5,5,,positive
a1rg,119ed02b-89d2-4e87-ac39-bebae138508e,2024-02-20T09:23:57Z,"semua sedap, cuma bila panas@berkuap packaging buat talapia hilang rangup tapi tak ganggu pun la sgt..sambal sedap, kalau ada add on kicap pekat lagi sedap.👍",5,5,,positive
a1rg,1a2fee56-6868-4b10-abdf-92ac0b8be4f0,2023-12-15T03:25:58Z,order bakso dapat nasi,1,1,,negative
a1rg,1b4c845e-edfa-430b-812f-b121bdda30b2,2024-02-08T05:00:30Z,terbaik. seller tak berkira. semoga dimurahkan rezeki dan dipermudahkan segala urusan.,5,5,5,positive
a1rg,1ec58575-3c2d-429d-a0c7-ee274608ef1a,2023-06-28T05:09:53Z,"bayar sambal extra tp bila sampai xde, hampa, bayar tu bkn free",1,1,4,negative
a1rg,28079dfe-b31b-4187-bfc7-2f9a2b966d1c,2024-01-03T06:04:03Z,tak ada telur mata,3,3,,neutral
a1rg,28fc114a-d538-4352-8cf8-42b8f3c7face,2023-09-11T06:46:44Z,dah order teo panas..dibagi nye ais..astaga..,2,2,4,negative
a1rg,2b4acc68-9ca0-49ca-bd7a-6c152eb52549,2023-03-31T09:24:47Z,order daging masak kicap tapi dapat perut masak kicap,3,3,4,neutral
a1rg,2bdba2c3-1c39-4641-8f94-d41a848d31cc,2023-11-11T04:52:56Z,"empal goreng sedap sangat. tahu cukup rasa, unlike kedai lain yg tak bagi rempah apa2. sambal juga sedap, its indonesian sambal goreng style ❤️",5,5,,positive
a1rg,3777a09b-9c12-4dc3-91ec-10ccc878e9b9,2023-11-21T04:13:40Z,kuah sangat la sedikit ya...,3,3,,neutral
a1rg,3c7616f3-0478-43a6-8067-a3dab9dd9835,2023-03-23T16:07:10Z,bakso sangat sangat masin.. mungkin sebab berpuasa,2,2,3,negative
a1rg,402c7983-2391-4a2f-be52-641c856799e2,2023-09-22T04:35:55Z,semua nya sedaaapp tapi tapi minta sambal ap lebih kena rm1.90 tapi tak dapat pun :(,4,4,,positive
a1rg,445c4b1b-6dd4-4663-9d99-1ac4fc723bfc,2023-12-14T01:00:00Z,sedap,4,4,,positive
a1rg,4895483d-d830-483a-a727-7eb929d4ed23,2023-04-04T02:29:50Z,kuey teow is okay 👍 the portion is alot.,5,5,5,positive
a1rg,4bdc3d7d-9f90-46b6-be97-473cf7f355ed,2023-09-05T03:59:12Z,"nasi buttermilk
 ayam besar² tapi kuah sikit n masin.",2,2,5,negative
a1rg,4d544e15-1edb-4cea-9722-495101fb8edb,2023-09-11T06:53:35Z,sambal pedass!👍🏻👍🏻👍🏻,5,5,5,positive
a1rg,4db8adb7-7825-4e3b-a5d9-4d40a70074c7,2023-06-20T03:46:27Z,sedap tapi sambal sikit..,5,5,5,positive
a1rg,506c79c5-ce07-4538-abee-c17aa0f328d4,2023-09-21T04:04:15Z,daging black pepper sedap,5,5,5,positive
a1rg,509c8b0a-01ed-411a-ab14-80a52a93ef27,2024-01-24T10:07:21Z,"ayam penyet ni memang kena kena kena..rasa kena, sambal nampak ""apa kena sikit ni"" tapi berdesing juga kena, kira cukup la.

kena repeat lagi kalau ada diskaun😆",5,5,,positive
a1rg,543f5689-4949-4abe-bedf-d0b64fc1d18c,2024-03-02T08:06:09Z,masakan yg sedap. portion pun bnyak. fast delivery pulak tu. perfect 👌. nty bleh repeat lgi. done add this restaurants as favorite😍,5,5,,positive
a1rg,5754d4f1-dd07-45f4-ad2f-f069a2db968b,2023-11-27T05:59:32Z,"lambat, kurang sedap. sekian🥹",2,2,,negative
a1rg,6008f59f-bca9-40a8-82ec-6efa949a0f79,2023-10-05T05:02:51Z,not bad next time nak try w sambal pulak,4,4,,positive
a1rg,61e5bf36-a84a-4709-a7f3-58112ba6b177,2023-05-06T16:21:40Z,"packing was decent. food was tasty. their sambal was spicy and tasty. 
hope they include more vegetables options (eg: lettuce or ulam etc)",5,5,,positive
a1rg,62911716-1a1d-4f3d-b17d-1d4548982e82,2023-05-01T06:58:50Z,"takkan mengecewakan. ordered ayam kicap and butter chicken, flavors were all balanced. harga pun berpatutan",5,5,5,positive
a1rg,68e126d9-cdda-4b9a-928c-12a177f1030b,2023-05-18T05:23:14Z,taste good. 👍,5,5,,positive
a1rg,6bc42b1d-badd-4dbe-a46e-007b3563abb0,2023-12-15T03:26:17Z,portion sikit sangat,1,1,,negative
a1rg,6d07fef1-7b9c-4e20-a951-51ae56733501,2023-03-25T11:43:43Z,food portion is ok but the ladna needs a little bit more salt n garlic.,3,3,5,neutral
a1rg,707a0d35-fb80-4d2b-9e7b-d3c9b653ff63,2023-07-22T01:30:52Z,"portion ok, mee hoon not spicy. i loves it. soup hot and nice. nescaffe ""kaw""...",5,5,5,positive
a1rg,724ca1ab-e09e-453e-921d-f1be54cb7cbf,2023-06-23T06:26:31Z,the food portion is very small.,2,2,5,negative
a1rg,780c06ca-ab10-490a-83c1-3fdba528d539,2023-05-18T07:51:07Z,okay...tp tu la order smpai 2kali harini sbb panda delivery sgt problem..dia amik makanan kite pastu bawak lari mana ntah ...pastu tiba2 delivered je ..byk kli dh mcm tu...pasni order grab lg bgus,1,1,,negative
a1rg,7ab317a4-52eb-4c03-8f9d-4d5463bbdc4e,2023-03-31T11:30:03Z,"minta tomyam ayam, tapi ayam satu pun takde. kuah dgn halia je ada. mmg tak patut. nasi pun bg sikit. teruk sgt .org nk berbuka puasa.. not recommend.",1,1,5,negative
a1rg,7d29fbc6-2d4e-4f00-bed2-bbdc49db0369,2024-03-03T07:46:01Z,tomyam sangat sedap. nasi goreng portion banyak alhamdulillah,5,5,5,positive
a1rg,81b92bb1-a5fc-4660-af82-0873dcc5b1c0,2023-09-14T09:45:25Z,sedap!,5,5,5,positive
a1rg,86112014-e761-40b3-8d9e-ce43c90505d7,2023-11-10T06:19:22Z,tq..alert my order.sdap sgt2.ayam panas sambal sedap😇,5,5,,positive
a1rg,90663b8e-7fa8-455f-a8be-87d27ed1bf92,2024-02-01T08:53:35Z,laju . bagus,5,5,5,positive
a1rg,985d9ab8-1949-45d8-8d47-2600e5553a35,2023-05-12T04:49:45Z,ikan keli tak kering luar crunchy dlm lembut je.. sup utk lele penyet sedap.. sambal padu 🥵🥵. bole repeat lagi,5,5,,positive
a1rg,98b7fe7d-2433-4412-b839-d7d7db75f623,2023-08-09T04:53:10Z,good!!,5,5,5,positive
a1rg,98b84ba1-2714-4287-862b-de972ab28de2,2023-05-01T02:10:51Z,sama ada kuah atau sambal yg masin.portion x banyak sgt.kedekut.kurang,5,5,,positive
a1rg,9951f633-54d6-4a55-ab36-23313f237866,2024-03-18T12:53:34Z,kenyang!,5,5,,positive
a1rg,b19f72bd-9da4-4bb0-b331-c40b9897498f,2023-10-26T05:56:14Z,semua sedap,5,5,,positive
a1rg,b66619b7-7b66-4180-a423-834bb33922ae,2024-01-29T04:38:59Z,sebelom ni i tak pernah bagi rate ...tapi ur food very nice specially crispy chicken n sambal... 💯 recommended....tq dear,5,5,5,positive
a1rg,ca863bab-34fa-40d1-b899-6afbe2856ed1,2024-03-12T09:06:11Z,"i dah mention tak nak nasi but still bagi, anyway tq",5,5,5,positive
a1rg,caf004d2-9180-4cdf-ab49-c50787dea6c3,2023-08-15T04:22:51Z,tak ada rase langsung.. agaknya masak campak2 asal siap je.,1,1,5,negative
a1rg,cb4b587f-12cc-45a8-abfc-9dbd641dee12,2023-03-22T05:36:18Z,kuah tomyam sedap cuma isi dia sikit,4,4,5,positive
a1rg,cc73e531-e353-4883-9e15-41f6a7632a63,2023-05-03T06:39:20Z,the fried rice taste bitter,1,1,,negative
a1rg,d1b736c6-2f2e-4a01-951e-c4a2cf288d78,2023-11-21T04:58:49Z,"sedap, bnyak kali dh repeat",5,5,,positive
a1rg,d74d4093-1aa8-4327-8992-e715ed332263,2023-07-07T05:46:39Z,"first time makan tomyam sosej, ingatkan ada udang",4,4,5,positive
a1rg,d7b6ba27-f19a-4ab6-a2a9-f6f8bd9bbddd,2023-05-18T06:42:35Z,oder nsik goreng n telur mata tpi telur tak dapt hmmm,1,1,5,negative
a1rg,d870a786-5294-4440-b74f-2458586d2402,2024-01-20T05:03:19Z,tomyam banyak...boleh mkn 2 org..terima kasih,5,5,,positive
a1rg,dcc8d92b-9b95-4841-bbce-6aaaaea9fa11,2023-12-26T01:07:18Z,the mee goreng basah was ok. but the paru sambal was as hard as leather. the cow from which they got the paru or lung must have been a deep sea diver.,3,3,5,neutral
a1rg,e6af1345-49b6-451e-80dd-1424388df797,2023-06-04T12:07:03Z,sedap ns lemak lauk sambal paru...lg2 aym penyet die...sambal die 😋😋😋,5,5,,positive
a1rg,e812c55d-5028-4ce2-b712-532356e25c99,2023-04-10T07:47:53Z,makanan sedap tapi telur mata yang saya order tak ada.,3,3,5,neutral
a1rg,e8aa54ef-16aa-4075-871b-a8b6fb0c1dba,2023-04-26T05:40:07Z,sangat memuaskan ⭐⭐⭐⭐⭐,5,5,5,positive
a1rg,ec9e366a-ca44-4c0e-8005-3a8713bbcad3,2024-01-08T02:56:07Z,the noodle is so fragrant and chicken so yummy,5,5,5,positive
a1rg,f1a19c35-232f-4753-bd69-afa39770ddd6,2023-11-28T03:59:58Z,they dont give sambal fr ayam penyet set.. so disapointed.. what ayam penyet wthout sambal🙁,1,1,,negative
a1rg,f2fab9f2-12e1-4ff8-a799-069bb65a6200,2024-02-20T02:29:44Z,tom yam sangat sedap tapi kurang ayam. sambal penyet sedap.,5,5,5,positive
a1rg,f301c9ac-bfc5-4191-9d98-4fdf0aed3272,2023-10-19T02:13:35Z,sedappp! will repeat again!,5,5,,positive
a1rg,f3c3f81f-a3bc-40e1-bfd7-ad1865f064e9,2023-06-23T05:12:37Z,"nasi goreng tomyam, tawar..takde rasa tomyam 😅",2,2,5,negative
a1rg,f8b478a5-b668-45c2-a844-5395cb00faf1,2024-02-20T15:03:20Z,"the food portion is small and the tom yum tastes good. bihun goreng are not recommended as already burnt. disappointment, not worth the price.",3,3,,neutral
a1rg,fe1c1e13-5f01-4a4d-a5b3-b802c9bae231,2023-05-16T05:34:53Z,food not delivered,1,1,,negative
a3na,04c3f039-f25e-4abc-8091-14833d0bd727,2023-04-27T12:08:24Z,sedap & portion banyak. boleh repeat. tq,5,5,,positive
a3na,0b86e4b1-636d-45b5-aff7-524693c58a8a,2024-02-12T10:34:01Z,kuey teow pedas..kesian ank x boleh mkn…dah tulis jgn pedas 😒,1,1,5,negative
a3na,11331eeb-e60b-43cb-9117-81b50083bb03,2023-12-04T02:35:33Z,not much ingredients,3,3,,neutral
a3na,13e71ec3-c73a-4d63-a920-43bb0e7504f4,2023-11-25T12:06:27Z,semua menu sedap² yg sya order .... mabeles.,5,5,,positive
a3na,18b2c459-ff78-4eae-bc6d-f64be1bf991c,2023-06-06T14:21:33Z,kenapa pedas dan ada sayur 😔 anak x boleh makan lgsg,1,1,,negative
a3na,22044e5b-24b7-485b-8a0a-d9e981b48892,2024-02-14T12:59:32Z,sedap seperti biasaaaaa,5,5,5,positive
a3na,249ba8d9-5ea4-405d-bb8f-172e6721d1fb,2023-12-27T13:58:29Z,"terbaik,mknan sedap👍👍👍👍",5,5,,positive
a3na,2998b764-10d7-432a-8375-4e74337ee2bc,2023-08-10T12:43:57Z,tukang masak lain kali tolong la baca permintaan customer....nasi goreng seafood tak nak pedas tapi dapat pedas baginya cili padi...anak 3 tahun.. nak makan macam mana?,3,3,,neutral
a3na,2fe2c298-15fd-4938-83b6-96bedb008c01,2023-08-07T17:11:36Z,"ayam kaler merah tul, macam letak pewarna dah saya tengok, usa nye hanya ayam dan bawang sahaja. boleh la makan kenyang rasa ok-ok je la.",2,2,5,negative
a3na,31a22dd3-721e-4472-a2b5-10c8f482815e,2024-01-14T13:54:30Z,makanan always sedap,5,5,,positive
a3na,31c86c83-5c39-4076-8990-935efe749275,2023-10-18T14:35:22Z,2 jam aku tgu..,1,1,,negative
a3na,32b645ba-f3cb-48b1-96de-48666a909fdb,2023-12-17T10:06:28Z,makanan sedap & servis yg pantas,5,5,,positive
a3na,3572386c-f364-4987-b9fc-9d9aa8814926,2024-01-07T03:20:23Z,"fries tak ngam, mcm byk kali goreng",3,3,,neutral
a3na,391c6824-b52b-4948-ab4e-ae6e04ff7cfc,2023-08-07T08:43:11Z,bolehla,4,4,5,positive
a3na,3a28ef0d-cf44-4cf3-86f2-e6b3a477295a,2023-05-29T14:02:21Z,sirap x manis,3,3,,neutral
a3na,3a541516-1831-47d1-9c6b-11d7647ab881,2024-02-20T14:18:02Z,big portion.. cuma daging macam daging cincang but tomyam sedap!!!!!,5,5,5,positive
a3na,3b8c0076-799c-419b-bdcc-9e2982d0dec8,2023-10-11T14:24:49Z,"order air barli tak nk gula , xnak limau . tp masih lagi nk letak .",2,2,,negative
a3na,4b1af1aa-6f49-4b01-a65e-37ed128b682c,2023-12-17T14:10:27Z,padu,5,5,,positive
a3na,4b8ebe9b-be86-4d21-8fa1-f78ff8bea893,2023-05-05T15:44:39Z,nasi bujang tak ada soup,2,2,,negative
a3na,53467afa-4f55-47ed-b822-d2abebe6099d,2023-12-26T12:50:32Z,sedappppp..portion pun banyak..puas hati👍🏻👍🏻,5,5,,positive
a3na,5891e03e-be28-4c63-b0a4-7078aa99522f,2024-03-08T12:06:20Z,"sy order kerabu maggie 2, (rm20. 00) tapi tak dapat.. dpt set nasi shj. mcm mn tu. nak contact tak ada number. tunggu2 kot2 owner akn call.",3,3,,neutral
a3na,58e90128-5ce3-41e7-9470-63a4b9a03d13,2024-03-03T13:53:58Z,very late service,1,1,,negative
a3na,6173a402-bee4-41ff-abc5-f3de8254ef0a,2024-02-06T14:05:51Z,"makan semua sedap je cuma harini order sekali air, tp air tak sampai. mungkin terlepas pandang",4,4,,positive
a3na,6c782555-e311-4f3c-8ef9-87860bd65a02,2023-04-28T13:39:25Z,it takes about 50 minutes for the food to arrived. my fried rice are cold seems like it were fried since yesterday..,3,3,4,neutral
a3na,6c99b3f2-1a71-4509-94f6-afa9d1204135,2023-10-28T12:34:31Z,ermm overall ok la cuma xde sayur.,5,5,5,positive
a3na,6cb11be5-6d01-4918-809f-7693304aa9b8,2024-01-20T13:23:43Z,kita order bihun tapi dapat kuew teow. upset sekejap. tapi bila tgk penuh sepinggan & dapat rasa kesedapan dan kenikmatannya terus sejuk hati kita. dapat pulak hirup kehangatan teh tarik padu. pergghh,5,5,,positive
a3na,73cefb1f-c511-4513-9889-32b4760ed137,2023-10-25T14:04:01Z,order nasi goreng paprik yang smpai nasi jer mana paprik nya.,1,1,,negative
a3na,7407fa8a-e4dd-4129-9010-1fe8b6e2d274,2023-06-17T17:52:30Z,nasi bujang dye ade nasi n telur . sambal n sup takde,2,2,5,negative
a3na,76418ae0-e998-45df-bbd4-6eb378e99324,2024-03-06T13:23:58Z,makanan sedap...i suke...rider pn baik and make sure semua makanan completed...,5,5,5,positive
a3na,786e55e8-19e3-4b14-8e85-0b53125d4e35,2024-01-26T16:42:29Z,"order nasi goreng usa daging, yg dapat nasi goreng ada cili padi 5-6 biji, smpi pijor mulut makan, n ayam pula lauk. sdgkan order daging.  tahun2 sebelum ni order kat kedai makan okay ja. ntahla",1,1,,negative
a3na,798ec5bf-826b-4393-af2a-0b2ec4af825f,2024-01-18T15:11:40Z,"memuas kan , hight recomended 🥰🥰🥰😋😋",5,5,5,positive
a3na,7a52b742-4f19-42f8-9d2d-36ef73eb1b97,2023-05-17T14:09:55Z,"sedap, harga berpatutan, tak pernah mengecewakan",5,5,,positive
