menu_id,store_id,restaurant_name,item_name,category,price_rm,source,is_available,updated_at
s1wn-m01,s1wn,DubuYo Prime @ IOI Mall Damansara,Kimchi,Side,4.97,review_mention,True,2026-04-23T01:40:03+00:00
s1wn-m02,s1wn,DubuYo Prime @ IOI Mall Damansara,Dumplings,Side,9.64,review_mention,True,2026-04-23T01:40:03+00:00
s1wn-m03,s1wn,DubuYo Prime @ IOI Mall Damansara,Ramen,Main,22.53,review_mention,True,2026-04-23T01:40:03+00:00
s1wn-m04,s1wn,DubuYo Prime @ IOI Mall Damansara,Bibimbap,Main,18.85,review_mention,True,2026-04-23T01:40:03+00:00
s1wn-m05,s1wn,DubuYo Prime @ IOI Mall Damansara,Korean Fried Chicken,Main,22.65,synthetic,True,2026-04-23T01:40:03+00:00
s1wn-m06,s1wn,DubuYo Prime @ IOI Mall Damansara,Kimchi Fried Rice,Main,16.26,synthetic,True,2026-04-23T01:40:03+00:00
s1wn-m07,s1wn,DubuYo Prime @ IOI Mall Damansara,Seaweed Soup,Side,6.37,synthetic,True,2026-04-23T01:40:03+00:00
s1wn-m08,s1wn,DubuYo Prime @ IOI Mall Damansara,Bingsu,Dessert,14.45,synthetic,True,2026-04-23T01:40:03+00:00
s1wn-m09,s1wn,DubuYo Prime @ IOI Mall Damansara,Tteokbokki,Main,15.28,synthetic,True,2026-04-23T01:40:03+00:00
s1wn-m10,s1wn,DubuYo Prime @ IOI Mall Damansara,Bulgogi Beef Set,Main,24.63,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m01,cmtw,Salad Atelier (IOI Mall Damansara),Aglio Olio,Main,18.73,review_mention,True,2026-04-23T01:40:03+00:00
cmtw-m02,cmtw,Salad Atelier (IOI Mall Damansara),Tandoori Chicken,Main,18.89,review_mention,True,2026-04-23T01:40:03+00:00
cmtw-m03,cmtw,Salad Atelier (IOI Mall Damansara),Iced Lemon Tea,Drink,4.66,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m04,cmtw,Salad Atelier (IOI Mall Damansara),Chocolate Cake,Dessert,9.86,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m05,cmtw,Salad Atelier (IOI Mall Damansara),Mixed Salad,Side,10.6,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m06,cmtw,Salad Atelier (IOI Mall Damansara),Fried Rice,Main,11.67,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m07,cmtw,Salad Atelier (IOI Mall Damansara),Soup of the Day,Side,7.72,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m08,cmtw,Salad Atelier (IOI Mall Damansara),Hot Coffee,Drink,5.3,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m09,cmtw,Salad Atelier (IOI Mall Damansara),Chicken Chop,Main,18.22,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m10,cmtw,Salad Atelier (IOI Mall Damansara),Noodles,Main,13.79,synthetic,True,2026-04-23T01:40:03+00:00
cmtw-m11,cmtw,Salad Atelier (IOI Mall Damansara),Signature Rice Bowl,Main,13.84,synthetic,True,2026-04-23T01:40:03+00:00
t6ph-m01,t6ph,Nyonya Cendol Paradigm Mall,Cendol,Dessert,5.74,review_mention,True,2026-04-23T01:40:03+00:00
t6ph-m02,t6ph,Nyonya Cendol Paradigm Mall,Laksa,Main,11.88,review_mention,True,2026-04-23T01:40:03+00:00
t6ph-m03,t6ph,Nyonya Cendol Paradigm Mall,Nasi Lemak Ayam,Main,10.03,review_mention,True,2026-04-23T01:40:03+00:00
t6ph-m04,t6ph,Nyonya Cendol Paradigm Mall,Noodles,Main,13.12,review_mention,True,2026-04-23T01:40:03+00:00
t6ph-m05,t6ph,Nyonya Cendol Paradigm Mall,Kuih Platter,Dessert,6.53,synthetic,True,2026-04-23T01:40:03+00:00
t6ph-m06,t6ph,Nyonya Cendol Paradigm Mall,Mee Goreng Mamak,Main,10.03,synthetic,True,2026-04-23T01:40:03+00:00
t6ph-m07,t6ph,Nyonya Cendol Paradigm Mall,Teh Tarik,Drink,3.27,synthetic,True,2026-04-23T01:40:03+00:00
t6ph-m08,t6ph,Nyonya Cendol Paradigm Mall,Char Kuey Teow,Main,12.33,synthetic,True,2026-04-23T01:40:03+00:00
t6ph-m09,t6ph,Nyonya Cendol Paradigm Mall,Roti Canai Set,Main,7.9,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m01,kb6t,Bread History (Sunway Giza),Cheese Cake Slice,Dessert,11.55,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m02,kb6t,Bread History (Sunway Giza),Croissant,Pastry,9.09,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m03,kb6t,Bread History (Sunway Giza),Cappuccino,Drink,11.01,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m04,kb6t,Bread History (Sunway Giza),Americano,Drink,7.76,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m05,kb6t,Bread History (Sunway Giza),Mineral Water,Drink,2.48,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m06,kb6t,Bread History (Sunway Giza),Cafe Latte,Drink,10.13,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m07,kb6t,Bread History (Sunway Giza),Mocha,Drink,12.44,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m08,kb6t,Bread History (Sunway Giza),Brownie,Dessert,8.97,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m09,kb6t,Bread History (Sunway Giza),Lemon Tea,Drink,6.74,synthetic,True,2026-04-23T01:40:03+00:00
kb6t-m10,kb6t,Bread History (Sunway Giza),Iced Chocolate,Drink,9.41,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m01,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Nasi Lemak Ayam,Main,10.47,review_mention,True,2026-04-23T01:40:03+00:00
cogb-m02,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Teh Tarik,Drink,3.24,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m03,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Laksa,Main,11.23,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m04,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Char Kuey Teow,Main,11.85,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m05,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Sirap Limau,Drink,3.87,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m06,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Cendol,Dessert,6.29,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m07,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Roti Canai Set,Main,7.88,synthetic,True,2026-04-23T01:40:03+00:00
cogb-m08,cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,Mee Goreng Mamak,Main,10.44,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m01,r6fa,Tasty Porridge KOTA DAMANSARA,Signature Rice Bowl,Main,13.84,synthetic,True,2026-04-23T01:40:03+00:00
