store_id,name,food_type,avg_rating,google_search_query,google_place_id,google_formatted_address,google_business_status,google_price_level,google_price_tier,google_lat,google_lng,google_website,google_phone,google_types_json,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json,operating_hours_source
s1wn,DubuYo Prime @ IOI Mall Damansara,korean,4.6,"dubuyo (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJEfT-2VdPzDER4UlZKz3hkmk,"Concourse floor, Tropicana garden mall lot CC-42, no A, Persiaran Surian, Tropicana Indah, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1490708,101.5952253,https://www.google.com/maps/place/?q=place_id:ChIJEfT-2VdPzDER4UlZKz3hkmk,03-7660 6967,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
cmtw,Salad Atelier (IOI Mall Damansara),asian,4.3,"salad atelier (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJwfmvRyFPzDER0DL4tps1yrk,"CC-85, Concourse Floor, Tropicana Gardens Mall, Jln PJU 3/21, Tropicana Indah, 47410 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1490388,101.5935816,https://www.saladatelier.com/,010-662 1561,"[""cafe"", ""establishment"", ""food"", ""health"", ""point_of_interest"", ""restaurant"", ""store""]",10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,"{""Monday"": ""10:30 AM 9:00 PM"", ""Tuesday"": ""10:30 AM 9:00 PM"", ""Wednesday"": ""10:30 AM 9:00 PM"", ""Thursday"": ""10:30 AM 9:00 PM"", ""Friday"": ""10:30 AM 9:00 PM"", ""Saturday"": ""10:30 AM 9:00 PM"", ""Sunday"": ""10:30 AM 9:00 PM""}",google_places
t6ph,Nyonya Cendol Paradigm Mall,malaysian,4.5,"nyonya cendol, Petaling Jaya, Malaysia",ChIJ5zgBl_BNzDERbk732LvugsA,"LG-48, Lower Ground Floor, Paradigm Mall, 1, Jalan SS 7/26a, SS7, 47301 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1059372,101.5958662,http://www.facebook.com/nyonyacendolcafe,03-7887 7255,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant"", ""store""]",10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}",google_places
kb6t,Bread History (Sunway Giza),cakes,4.5,"bread history (sunway giza mall), Petaling Jaya, Malaysia",ChIJd_RnibRPzDERafp2t0wL7Ko,"G-06, Sunway Giza Mall, Jalan PJU 5/14, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1501529,101.5917264,http://breadhistory.com.my/,03-7660 0070,"[""bakery"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,ayam penyet,4.6,"ayam penyet d'kota (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJf1K3MKhPzDER_cj33zfQzPA,"18, Persiaran Surian, Tropicana Gardens Mall, Concourse Level, Kota Damansara, 47410 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.14916,101.5955371,https://www.google.com/maps/place/?q=place_id:ChIJf1K3MKhPzDER_cj33zfQzPA,019-958 0947,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}",google_places
vaer,Juek Xing Kopi Sunway Giza Mall,chinese,4.7,"juek xing kopi, Petaling Jaya, Malaysia",ChIJT_3XPhJPzDERGkI5F6Uj4iQ,"G.07, Ground Floor, Sunway Giza Mall, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,-1,,3.1506259,101.5917255,https://www.facebook.com/juekxingmy,010-331 3128,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
m9ls,Ekandar Maju Nasi Kandar | Kota Damansara,nasi kandar,4.3,"hameediyah restaurant, Petaling Jaya, Malaysia",ChIJE9kuNd5OzDERwUqepGDvdlc,"Unit A-GF-01 Sunway Nexis,, No 1 Jalan PJU 5/1,, Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,2,mid,3.150116,101.594258,https://www.google.com/maps/place/?q=place_id:ChIJE9kuNd5OzDERwUqepGDvdlc,03-6151 7766,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
v1ti,Soong Kee | Kota Damansara |,noodles,4.6,"soong kee kota damansara, Petaling Jaya, Malaysia",ChIJLfR812hPzDER9C3iy34fOiw,"38A-1 (Ground Floor), Jalan PJU 5/9 Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,-1,,3.1509235,101.5938093,https://m.facebook.com/Soong-Kee-Kota-Damansara-%E9%A2%82%E8%AE%B0-100352465081079/,010-916 1945,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
r6fa,Tasty Porridge KOTA DAMANSARA,porridge,4.7,"tasty porridge (kota damansara), Petaling Jaya, Malaysia",ChIJsyeVFNdPzDERgelDPj5ztzI,"38A, 1 G, Jalan PJU 5/10, Pju 1, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1515972,101.5936897,https://www.google.com/maps/place/?q=place_id:ChIJsyeVFNdPzDERgelDPj5ztzI,03-6151 8096,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
jb12,Kaw Kaw Pak Kopi,chinese,4.6,"restoran kampung pak kopi kaw 濃的傳人, Petaling Jaya, Malaysia",ChIJJZJAjCNJzDERapXLlQzQWHA,"27, Jalan SS 2/67, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1190426,101.6224556,https://www.google.com/maps/place/?q=place_id:ChIJJZJAjCNJzDERapXLlQzQWHA,012-276 7090,"[""cafe"", ""establishment"", ""food"", ""point_of_interest"", ""restaurant"", ""store""]",7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,"{""Monday"": ""7:00 AM 4:00 PM"", ""Tuesday"": ""7:00 AM 4:00 PM"", ""Wednesday"": ""7:00 AM 4:00 PM"", ""Thursday"": ""7:00 AM 4:00 PM"", ""Friday"": ""7:00 AM 4:00 PM"", ""Saturday"": ""7:00 AM 4:00 PM"", ""Sunday"": ""7:00 AM 4:00 PM""}",google_places
